Cont, Valor
0; 1
1; 0.995004
2; 0.980067
3; 0.955336
4; 0.921061
5; 0.877583
6; 0.825336
7; 0.764842
8; 0.696707
9; 0.62161
10; 0.540302
11; 0.453596
12; 0.362358
13; 0.267499
14; 0.169967
15; 0.0707372
16; -0.0291995
17; -0.128844
18; -0.227202
19; -0.32329
20; -0.416147
21; -0.504846
22; -0.588501
23; -0.666276
24; -0.737394
25; -0.801144
26; -0.856889
27; -0.904072
28; -0.942222
29; -0.970958
30; -0.989992
31; -0.999135
32; -0.998295
33; -0.98748
34; -0.966798
35; -0.936457
36; -0.896758
37; -0.8481
38; -0.790968
39; -0.725932
40; -0.653644
41; -0.574824
42; -0.490261
43; -0.400799
44; -0.307333
45; -0.210796
46; -0.112153
47; -0.0123887
48; 0.087499
49; 0.186512
50; 0.283662
51; 0.377978
52; 0.468517
53; 0.554374
54; 0.634693
55; 0.70867
56; 0.775566
57; 0.834713
58; 0.88552
59; 0.927478
60; 0.96017
61; 0.983268
62; 0.996542
63; 0.999859
64; 0.993185
65; 0.976588
66; 0.950233
67; 0.914383
68; 0.869397
69; 0.815725
70; 0.753902
71; 0.684547
72; 0.608351
73; 0.526078
74; 0.438547
75; 0.346635
76; 0.25126
77; 0.153374
78; 0.0539554
79; -0.0460021
80; -0.1455
81; -0.243544
82; -0.339155
83; -0.431377
84; -0.519289
85; -0.602012
86; -0.67872
87; -0.748647
88; -0.811093
89; -0.865435
90; -0.91113
91; -0.947722
92; -0.974844
93; -0.992225
94; -0.999693
95; -0.997172
96; -0.984688
97; -0.962365
98; -0.930426
99; -0.889191
